lehetőség;opportunity:possibility:chance:
irányítószám;postcode:
napfény;sunshine:sun:sunlight:
hagyományos;traditional:
polgár;citizen:commoner:
elv;principle:policy:theorem:tenet:
nagykövetség;embassy:ambassadorship:
tudatos;conscious:self-conscious:
elájul;faint:pass out:black out:collapse:swoon:
peak;csúcs:top:tip:
vezető;leader:guide:driver:wheelman:chief:
evőeszköz;cutlery:silverware:
idegen(fn.);stranger:foreigner:alien:outlander:outsider:newcomer:
gyűrű;ring:
foglalás;reservation:
furcsa;strange:odd:weird:peculiar:abnormal:
szokatlan;unusual:uncommon:extraordinary:
kulcsszó;keyword:key:password:
nyál;saliva:spit:drool:
tép;tear:shed:rip:
